hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2012,4,158.57,157.70
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2012,5,162.16,158.82
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2012,6,163.56,159.00
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2012,7,163.67,158.95
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2012,8,163.93,159.86
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2012,9,163.10,160.17
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2012,10,162.25,160.78
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2012,11,161.36,160.05
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2012,12,159.42,160.64
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2013,1,159.31,162.26
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2013,2,160.19,162.77
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2013,3,162.99,164.18
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2013,4,166.34,165.20
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2013,5,169.31,165.83
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2013,6,171.76,166.74
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2013,7,172.96,167.85
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2013,8,172.38,168.04
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2013,9,171.71,168.63
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2013,10,170.19,168.74
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2013,11,169.61,168.62
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2013,12,168.89,170.28
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,1,167.56,170.73
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,2,168.09,170.79
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,3,170.47,171.33
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2014,4,173.75,172.30
